Product_Name,Category,Current_Price,Old_Price,Discount,Total_Ratings,Image_Link,Review_Rating,Review_Date,Verified_Purchase,Review_Text
Knorr Chicken Bouillon Seasoning Cubes 50X8g Triple Pack,Home > Grocery > Food Cupboard > Cooking Ingredients > Cubes & Stocks,"₦ 6,870","₦ 7,465",8%,(330 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/407399/1.jpg?4001,1 out of 5,No Date,Yes,"DONT BUY THIS AT ALL OO,  this store sends only 2 not 3 maggi packs so buy at your own risk because they added non returnable so that even if they send you only 1 pack you cannot return it to get back your money. If the product expires or is incomplete like my own, you cannot get back your money from them. Fellow customers beware"
Knorr Chicken Bouillon Seasoning Cubes 50X8g Triple Pack,Home > Grocery > Food Cupboard > Cooking Ingredients > Cubes & Stocks,"₦ 6,870","₦ 7,465",8%,(330 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/407399/1.jpg?4001,5 out of 5,No Date,Yes,Great and awesome taste for all your cooking!
Knorr Chicken Bouillon Seasoning Cubes 50X8g Triple Pack,Home > Grocery > Food Cupboard > Cooking Ingredients > Cubes & Stocks,"₦ 6,870","₦ 7,465",8%,(330 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/407399/1.jpg?4001,5 out of 5,No Date,Yes,Nice
Dou-color Pure Cotton 3 In 1 Men's Flat Angle Underwear(white+gray+black),Home > Fashion > Men's Fashion > Clothing > Underwear > Boxers > Sets,"₦ 8,360","₦ 9,470",12%,(255 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/0305103/1.jpg?2806,5 out of 5,No Date,Yes,It so flexible
Dou-color Pure Cotton 3 In 1 Men's Flat Angle Underwear(white+gray+black),Home > Fashion > Men's Fashion > Clothing > Underwear > Boxers > Sets,"₦ 8,360","₦ 9,470",12%,(255 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/0305103/1.jpg?2806,5 out of 5,No Date,Yes,Exactly what I ordered for.
Dou-color Pure Cotton 3 In 1 Men's Flat Angle Underwear(white+gray+black),Home > Fashion > Men's Fashion > Clothing > Underwear > Boxers > Sets,"₦ 8,360","₦ 9,470",12%,(255 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/0305103/1.jpg?2806,4 out of 5,No Date,Yes,A good product
Big Bull  Rice 50Kg,"Home > Grocery > Dried Beans, Grains & Rice > Rice & Grains","₦ 73,000","₦ 74,000",1%,(100 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/3810993/1.jpg?4041,1 out of 5,No Date,Yes,Not a long grain and the taste is very bad
Big Bull  Rice 50Kg,"Home > Grocery > Dried Beans, Grains & Rice > Rice & Grains","₦ 73,000","₦ 74,000",1%,(100 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/3810993/1.jpg?4041,5 out of 5,No Date,Yes,non soggy fine grain great tase
Big Bull  Rice 50Kg,"Home > Grocery > Dried Beans, Grains & Rice > Rice & Grains","₦ 73,000","₦ 74,000",1%,(100 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/3810993/1.jpg?4041,5 out of 5,No Date,Yes,She loved it but the maintenance was nothing to talk about  the bag was mishandle it looks so old nd also disorganised..
Haier Thermocool 145 Litres Double Door Refrigerator (HRF-160BEX R6)- Silver  + 3 Years Warranty,Home > Home & Office > Large Appliances & Home Improvement > Large Appliances > Fridges,"₦ 394,610",No Old Price,0%,(57 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/1332231/1.jpg?9500,2 out of 5,No Date,Yes,It could be better if we description was what you wrote
